start_zone,vendor_id,trip_time
77,HV0005,1072.9784453036316
98,HV0005,1076.6264529165308
157,HV0005,1026.7504484213905
165,HV0005,1170.4554423245283
105,HV0005,1625.389898989899
118,HV0005,1133.2884167120048
137,HV0005,1143.2128462086348
72,HV0005,1031.915959791526
21,HV0005,1114.9062246390224
126,HV0005,1033.1743338625365
132,HV0005,2314.9318907947413
168,HV0005,1085.2364044433316
174,HV0005,1056.1586436117964
232,HV0005,1135.7742404400285
45,HV0005,1171.301198365479
210,HV0005,1074.257015645645
258,HV0005,1135.3489886329216
201,HV0005,1588.7970798557542
39,HV0005,1053.6147629747995
92,HV0005,1181.9955469911372
193,HV0005,1186.6612331411918
158,HV0005,1164.3518828447475
234,HV0005,1197.855629701218
217,HV0005,1072.3884822034715
224,HV0005,1104.2896332691803
75,HV0005,1190.9815174533112
1,HV0005,2764.6384057971013
5,HV0005,1132.220677420491
228,HV0005,1210.7621802789447
60,HV0005,1020.0491098248111
127,HV0005,1095.5145446480342
212,HV0005,960.763729226089
53,HV0005,1206.8996551928465
17,HV0005,1095.8303480461907
114,HV0005,1126.9765090210944
85,HV0005,1186.8071900104653
56,HV0005,1076.7990192410527
34,HV0005,1128.1983399521957
68,HV0005,1275.0299539078642
179,HV0005,1127.8452649237665
24,HV0005,1177.2187059347175
222,HV0005,1085.0041359099887
148,HV0005,1116.0059856432658
236,HV0005,1247.0416767994536
59,HV0005,1061.3184877153346
29,HV0005,1117.3931856308113
38,HV0005,1073.1116438915574
225,HV0005,1159.9053421573499
166,HV0005,1183.6909490045375
69,HV0005,1076.299428921251
147,HV0005,1091.5753643676762
74,HV0005,1051.572438912812
16,HV0005,1104.8729603387399
176,HV0005,1299.9894464287784
247,HV0005,1024.509195066982
67,HV0005,1131.3841757127896
260,HV0005,1020.5891820864877
119,HV0005,1046.814025224184
200,HV0005,1198.6036455548833
162,HV0005,1287.4029353001997
71,HV0005,1107.7622358163844
25,HV0005,1199.3596440028916
143,HV0005,1166.9621983269158
133,HV0005,1191.6675093120693
246,HV0005,1204.8705412877187
142,HV0005,1246.1385045470045
41,HV0005,1089.333647609575
160,HV0005,1071.1594214191487
15,HV0005,1199.5251697715867
111,HV0005,1110.5371839784095
106,HV0005,1127.2336267917665
144,HV0005,1154.6025926340387
152,HV0005,1081.976860172476
155,HV0005,1163.5806282629737
187,HV0005,973.982262072287
170,HV0005,1186.262361383851
52,HV0005,1168.425333332816
129,HV0005,1056.2221101051332
242,HV0005,1073.1897010124014
135,HV0005,1108.2565496133948
61,HV0005,1106.6426904564482
113,HV0005,1178.7392219923668
227,HV0005,1228.4635912420736
191,HV0005,1083.6435346800824
115,HV0005,1013.2706969847155
231,HV0005,1212.4750063293243
206,HV0005,1041.9660430561485
199,HV0005,1707.2336719977754
